#   Source : patch atmosphere
#   Faces  : 7880
#   Area   : 3.500000e+001
#        Time	sum(rhoPhi)
1.010100e+000	7.279029e+002
1.014090e+000	7.298941e+002
1.018080e+000	7.309738e+002
1.022070e+000	7.294674e+002
1.026060e+000	7.261549e+002
1.030050e+000	7.232807e+002
1.034040e+000	7.206145e+002
1.038030e+000	7.174112e+002
1.042020e+000	7.146864e+002
1.046010e+000	7.122528e+002
1.048005e+000	7.098396e+002
1.050000e+000	7.026253e+002
1.052381e+000	7.020567e+002
1.055026e+000	7.035273e+002
1.058025e+000	7.035533e+002
1.061254e+000	7.039398e+002
1.064776e+000	7.037475e+002
1.068690e+000	7.032317e+002
1.072604e+000	7.027335e+002
1.076517e+000	7.024531e+002
1.080431e+000	7.021494e+002
1.084345e+000	7.018326e+002
1.088259e+000	7.009387e+002
1.092172e+000	7.007709e+002
1.096086e+000	7.004631e+002
1.100000e+000	7.015910e+002
1.104167e+000	7.036135e+002
1.108750e+000	7.057153e+002
1.113333e+000	7.063701e+002
1.117407e+000	7.053040e+002
1.121481e+000	7.037040e+002
1.125556e+000	7.028548e+002
1.129630e+000	7.013164e+002
1.133704e+000	7.002270e+002
1.137778e+000	6.992354e+002
1.141852e+000	6.985120e+002
1.145926e+000	6.977868e+002
1.150000e+000	6.976935e+002
1.154167e+000	6.977893e+002
1.158333e+000	6.992702e+002
1.162121e+000	7.004613e+002
1.165565e+000	7.007518e+002
1.169008e+000	7.010579e+002
1.172452e+000	7.028483e+002
1.175895e+000	7.039998e+002
1.179339e+000	7.054522e+002
1.182782e+000	7.066145e+002
1.186226e+000	7.081273e+002
1.189669e+000	7.095786e+002
1.193113e+000	7.124046e+002
1.196556e+000	7.155409e+002
1.200000e+000	7.190147e+002
1.203333e+000	7.221707e+002
1.206444e+000	7.240873e+002
1.209348e+000	7.244975e+002
1.212475e+000	7.258531e+002
1.215362e+000	7.272287e+002
1.218026e+000	7.281738e+002
1.220933e+000	7.304116e+002
1.223355e+000	7.329184e+002
1.225576e+000	7.328615e+002
1.227796e+000	7.340465e+002
1.230263e+000	7.359330e+002
1.232730e+000	7.372713e+002
1.235197e+000	7.367273e+002
1.237664e+000	7.354312e+002
1.240132e+000	7.334451e+002
1.242599e+000	7.310574e+002
1.245066e+000	7.282367e+002
1.247533e+000	7.257691e+002
1.250000e+000	7.235912e+002
1.252632e+000	7.224106e+002
1.255418e+000	7.219989e+002
1.258390e+000	7.216977e+002
1.261362e+000	7.208644e+002
1.264582e+000	7.200237e+002
1.268124e+000	7.203114e+002
1.271666e+000	7.208869e+002
1.275207e+000	7.208053e+002
1.278749e+000	7.214744e+002
1.281785e+000	7.209223e+002
1.284821e+000	7.204432e+002
1.287857e+000	7.211722e+002
1.290893e+000	7.220265e+002
1.293928e+000	7.230723e+002
1.296964e+000	7.235984e+002
1.300000e+000	7.239352e+002
1.303333e+000	7.245520e+002
1.306923e+000	7.252340e+002
1.310839e+000	7.266929e+002
1.314755e+000	7.285033e+002
1.318671e+000	7.300145e+002
1.322587e+000	7.324340e+002
1.326503e+000	7.346675e+002
1.329860e+000	7.358958e+002
1.333217e+000	7.355811e+002
1.336573e+000	7.366663e+002
1.339930e+000	7.379087e+002
1.343287e+000	7.392200e+002
1.346643e+000	7.400743e+002
1.350000e+000	7.414069e+002
1.353571e+000	7.431149e+002
1.357440e+000	7.453112e+002
1.361310e+000	7.470063e+002
1.364534e+000	7.474571e+002
1.367758e+000	7.459648e+002
1.370689e+000	7.460667e+002
1.373946e+000	7.455315e+002
1.377203e+000	7.462438e+002
1.380459e+000	7.452821e+002
1.383716e+000	7.441582e+002
1.386973e+000	7.423316e+002
1.390230e+000	7.406753e+002
1.393486e+000	7.400378e+002
1.396743e+000	7.399295e+002
1.400000e+000	7.396481e+002
1.403571e+000	7.393015e+002
1.407440e+000	7.394276e+002
1.411310e+000	7.399058e+002
1.414827e+000	7.397566e+002
1.418344e+000	7.379654e+002
1.421861e+000	7.377871e+002
1.425379e+000	7.377988e+002
1.428896e+000	7.378411e+002
1.432413e+000	7.380873e+002
1.435931e+000	7.377531e+002
1.439448e+000	7.378348e+002
1.442965e+000	7.386582e+002
1.446483e+000	7.399129e+002
1.450000e+000	7.415137e+002
1.453846e+000	7.444794e+002
1.458042e+000	7.490534e+002
1.461856e+000	7.534038e+002
1.465671e+000	7.569218e+002
1.469485e+000	7.598765e+002
1.473299e+000	7.621194e+002
1.477114e+000	7.660820e+002
1.480928e+000	7.696091e+002
1.484743e+000	7.718796e+002
1.487794e+000	7.725089e+002
1.490846e+000	7.726786e+002
1.493897e+000	7.732978e+002
1.496949e+000	7.723867e+002
1.500000e+000	7.709297e+002
1.503333e+000	7.705715e+002
1.506923e+000	7.698247e+002
1.510839e+000	7.681165e+002
1.514103e+000	7.644853e+002
1.517094e+000	7.589395e+002
1.520085e+000	7.551724e+002
1.523409e+000	7.532892e+002
1.526733e+000	7.519847e+002
1.530057e+000	7.491901e+002
1.533381e+000	7.461135e+002
1.536705e+000	7.443376e+002
1.540028e+000	7.426864e+002
1.543352e+000	7.410034e+002
1.546676e+000	7.397403e+002
1.550000e+000	7.383045e+002
1.553571e+000	7.366069e+002
1.557440e+000	7.355056e+002
1.561310e+000	7.353409e+002
1.565179e+000	7.350624e+002
1.569048e+000	7.345983e+002
1.572917e+000	7.337666e+002
1.576786e+000	7.319742e+002
1.580655e+000	7.307923e+002
1.584524e+000	7.304650e+002
1.588393e+000	7.313972e+002
1.592262e+000	7.324325e+002
1.596131e+000	7.333660e+002
1.600000e+000	7.334338e+002
1.604167e+000	7.341878e+002
1.608333e+000	7.348525e+002
1.612500e+000	7.353547e+002
1.616667e+000	7.356731e+002
1.620833e+000	7.356248e+002
1.625000e+000	7.339070e+002
1.629167e+000	7.331887e+002
1.633333e+000	7.322981e+002
1.637500e+000	7.320417e+002
1.641667e+000	7.315801e+002
1.645833e+000	7.313742e+002
1.650000e+000	7.303981e+002
1.654545e+000	7.303120e+002
1.659596e+000	7.306267e+002
1.664646e+000	7.301377e+002
1.669697e+000	7.281149e+002
1.674747e+000	7.256021e+002
1.679798e+000	7.230356e+002
1.684848e+000	7.212059e+002
1.689899e+000	7.188339e+002
1.694949e+000	7.168963e+002
1.700000e+000	7.154126e+002
