#   Source : patch outlet1
#   Faces  : 91
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
5.622222e+000	1.373018e+004
5.644444e+000	1.368882e+004
5.666667e+000	1.371481e+004
5.688889e+000	1.367352e+004
5.711111e+000	1.370288e+004
5.733333e+000	1.366678e+004
5.755556e+000	1.370068e+004
5.777778e+000	1.366748e+004
5.800000e+000	1.370214e+004
5.822222e+000	1.366617e+004
5.844444e+000	1.369561e+004
5.866667e+000	1.365405e+004
5.888889e+000	1.367983e+004
5.911111e+000	1.363974e+004
5.933333e+000	1.367214e+004
5.955556e+000	1.364014e+004
5.977778e+000	1.368160e+004
6.000000e+000	1.365721e+004
6.022222e+000	1.370150e+004
6.044444e+000	1.367702e+004
6.066667e+000	1.372210e+004
6.088889e+000	1.369808e+004
6.111111e+000	1.374079e+004
6.133333e+000	1.371218e+004
6.155556e+000	1.374983e+004
6.177778e+000	1.371796e+004
6.200000e+000	1.375490e+004
6.222222e+000	1.372359e+004
6.244444e+000	1.375969e+004
6.266667e+000	1.372465e+004
6.288889e+000	1.375478e+004
6.311111e+000	1.371292e+004
6.333333e+000	1.373827e+004
6.355556e+000	1.369570e+004
6.377778e+000	1.372363e+004
6.400000e+000	1.368569e+004
6.422222e+000	1.371779e+004
6.444444e+000	1.368164e+004
6.466667e+000	1.371369e+004
6.488889e+000	1.367697e+004
6.511111e+000	1.370915e+004
6.533333e+000	1.367357e+004
6.555556e+000	1.370756e+004
6.577778e+000	1.367318e+004
6.600000e+000	1.370699e+004
6.622222e+000	1.367114e+004
6.644444e+000	1.370230e+004
6.666667e+000	1.366300e+004
6.688889e+000	1.369064e+004
6.711111e+000	1.364902e+004
6.733333e+000	1.367629e+004
6.755556e+000	1.363704e+004
6.777778e+000	1.366904e+004
6.800000e+000	1.363587e+004
6.822222e+000	1.367367e+004
6.844444e+000	1.364407e+004
6.866667e+000	1.368222e+004
6.888889e+000	1.365033e+004
6.911111e+000	1.368516e+004
6.933333e+000	1.364933e+004
6.955556e+000	1.368012e+004
6.977778e+000	1.364016e+004
7.000000e+000	1.366736e+004
7.022222e+000	1.362343e+004
7.044444e+000	1.364784e+004
7.066667e+000	1.360575e+004
7.088889e+000	1.363645e+004
7.111111e+000	1.360168e+004
7.133333e+000	1.363953e+004
7.155556e+000	1.361068e+004
7.177778e+000	1.365400e+004
7.200000e+000	1.363027e+004
7.222222e+000	1.367558e+004
