#   Source : patch outlet1
#   Faces  : 832
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
1.046010e+000	3.560489e+001
1.048005e+000	3.434002e+001
1.050000e+000	3.560288e+001
1.052381e+000	3.433281e+001
1.055026e+000	3.556726e+001
1.058025e+000	3.430152e+001
1.061254e+000	3.551510e+001
1.064776e+000	3.425851e+001
1.068690e+000	3.550213e+001
1.072604e+000	3.426733e+001
1.076517e+000	3.550562e+001
1.080431e+000	3.431054e+001
1.084345e+000	3.556405e+001
1.088259e+000	3.445750e+001
1.092172e+000	3.570611e+001
1.096086e+000	3.469571e+001
1.100000e+000	3.591961e+001
1.104167e+000	3.503567e+001
1.108750e+000	3.618225e+001
1.113333e+000	3.540327e+001
1.117407e+000	3.639660e+001
1.121481e+000	3.578301e+001
1.125556e+000	3.685605e+001
1.129630e+000	3.659723e+001
1.133704e+000	3.780936e+001
1.137778e+000	3.784840e+001
1.141852e+000	3.911275e+001
1.145926e+000	3.929676e+001
1.150000e+000	4.042261e+001
1.154167e+000	4.047336e+001
1.158333e+000	4.136588e+001
1.162121e+000	4.150956e+001
1.165565e+000	4.233244e+001
1.169008e+000	4.234125e+001
1.172452e+000	4.307879e+001
1.175895e+000	4.343804e+001
1.179339e+000	4.455334e+001
1.182782e+000	4.517596e+001
1.186226e+000	4.622063e+001
1.189669e+000	4.662550e+001
1.193113e+000	4.746033e+001
1.196556e+000	4.793569e+001
1.200000e+000	4.870363e+001
1.203333e+000	4.938959e+001
1.206444e+000	5.043245e+001
1.209348e+000	5.130939e+001
1.212475e+000	5.227180e+001
1.215362e+000	5.285198e+001
1.218026e+000	5.334271e+001
1.220933e+000	5.375910e+001
1.223355e+000	5.407601e+001
1.225576e+000	5.422637e+001
1.227796e+000	5.465109e+001
1.230263e+000	5.512678e+001
1.232730e+000	5.560173e+001
1.235197e+000	5.579689e+001
1.237664e+000	5.599320e+001
1.240132e+000	5.597223e+001
1.242599e+000	5.599462e+001
1.245066e+000	5.576753e+001
1.247533e+000	5.595351e+001
1.250000e+000	5.605200e+001
1.252632e+000	5.696006e+001
1.255418e+000	5.765108e+001
1.258390e+000	5.851227e+001
1.261362e+000	5.851456e+001
1.264582e+000	5.909066e+001
1.268124e+000	5.894937e+001
1.271666e+000	5.913791e+001
1.275207e+000	5.867598e+001
1.278749e+000	5.910131e+001
